PDOid,PDOnam,Administrative_Region,Wine_Region,Designation_Level,min_row_spacing,max_row_spacing,min_plant_spacing,max_plant_spacing,max_area,source,notes
PDO-FR-A0697,Cornas,Auvergne-Rhône-Alpes,Rhône Valley,Communal,NULL,2.5,NULL,NULL,2.3,https://eur-lex.europa.eu/eli/C/2025/439/oj,
PDO-FR-A0349,Alsace Grand Cru Altenberg de Bergbieten,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.C_.2022.395.01.0036.01.ENG&toc=OJ%3AC%3A2022%3A395%3ATOC,
PDO-FR-A0915,Alsace Grand Cru Altenberg de Bergheim,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.C_.2022.372.01.0028.01.ENG&toc=OJ%3AC%3A2022%3A372%3ATOC,
PDO-FR-A0348,Alsace Grand Cru Altenberg de Wolxheim,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4100,
PDO-FR-A0340,Alsace Grand Cru Brand,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.C_.2022.374.01.0030.01.ENG&toc=OJ%3AC%3A2022%3A374%3ATOC,
PDO-FR-A0336,Alsace Grand Cru Bruderthal,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4100,
PDO-FR-A0338,Alsace Grand Cru Eichberg,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4101,
PDO-FR-A0385,Alsace Grand Cru Engelberg,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4102,
PDO-FR-A0298,Alsace Grand Cru Florimont,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4103,
PDO-FR-A0346,Alsace Grand Cru Frankstein,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4104,
PDO-FR-A0384,Alsace Grand Cru Froehn,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4105,
PDO-FR-A0378,Alsace Grand Cru Furstentum,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4106,
PDO-FR-A0379,Alsace Grand Cru Geisberg,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4107,
PDO-FR-A0377,Alsace Grand Cru Gloeckelberg,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4108,
PDO-FR-A0373,Alsace Grand Cru Goldert,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4109,
PDO-FR-A0372,Alsace Grand Cru Hatschbourg,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4110,
PDO-FR-A0376,Alsace Grand Cru Hengst,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4111,
PDO-FR-A0914,Alsace Grand Cru Kaefferkopf,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4112,
PDO-FR-A0410,Alsace Grand Cru Kanzlerberg,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4113,
PDO-FR-A0419,Alsace Grand Cru Kastelberg,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4114,
PDO-FR-A0414,Alsace Grand Cru Kessler,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4115,
PDO-FR-A0343,Alsace Grand Cru Kirchberg de Barr,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4116,
PDO-FR-A0339,Alsace Grand Cru Kirchberg de Ribeauvillé,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4117,
PDO-FR-A0335,Alsace Grand Cru Kitterlé,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4118,
PDO-FR-A0411,Alsace Grand Cru Mambourg,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4119,
PDO-FR-A0334,Alsace Grand Cru Mandelberg,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4120,
