IDU,row_spacing,plant_spacing,rmse,points_expected,points_found,area_missing_pct
070090000A0635,2.5,0.5,0.87,187.0,158.0,15.51
070090000A0805,2.2,0.6,0.934,546.0,469.0,14.1
070090000A0837,2.0,1.6,1.034,329.0,265.0,19.45
070090000B0212,2.5,0.8,1.044,358.0,249.0,30.45
070090000B0317,1.3,1.5,1.114,251.0,189.0,24.7
070090000B0554,2.1,1.1,1.112,768.0,516.0,32.81
070090000B0566,2.5,0.7,1.14,933.0,599.0,35.8
070090000B0598,2.0,1.0,1.353,3036.0,927.0,69.47
070090000B0706,1.8,0.7,1.098,868.0,542.0,37.56
070090000B0725,2.2,0.8,1.028,1941.0,1508.0,22.31
070090000B0750,2.3,0.6,0.704,699.0,662.0,5.29
070090000B0786,1.6,0.7,0.926,554.0,479.0,13.54
070090000B0801,1.7,1.2,0.897,730.0,639.0,12.47
070090000C0079,2.1,1.1,1.114,219.0,136.0,37.9
070090000C0733,2.5,0.6,0.938,503.0,392.0,22.07
070090000C0739,2.3,0.5,0.909,2164.0,1879.0,13.17
070090000C0832,2.2,1.0,0.879,279.0,246.0,11.83
070090000C1292,1.6,1.9,1.461,191.0,17.0,91.1
070090000C1383,2.1,0.7,0.865,284.0,271.0,4.58
070130000B0289,2.0,0.7,0.762,579.0,556.0,3.97
070130000B0582,2.5,1.1,1.323,1060.0,335.0,68.4
070130000B0766,2.1,0.7,0.801,610.0,561.0,8.03
070130000B0767,1.4,0.6,0.943,1217.0,990.0,18.65
070130000B0811,1.8,0.7,0.956,2972.0,2656.0,10.63
070130000B0815,2.4,0.7,0.923,2059.0,1798.0,12.68
070130000B0820,1.9,0.7,0.799,1259.0,1190.0,5.48
070130000B0929,1.8,0.7,1.107,3365.0,2284.0,32.12
070130000B1246,2.5,0.6,0.971,178.0,143.0,19.66
070130000B1328,2.5,0.7,1.009,1136.0,867.0,23.68
070130000B1501,2.2,0.7,0.882,3027.0,2591.0,14.4
070130000B1514,1.8,0.7,1.013,1759.0,1433.0,18.53
070130000C0645,2.4,0.6,0.667,487.0,440.0,9.65
